id,comentario,data
1,"O produto chegou muito rápido e em perfeitas condições! Amei.","2026-01-10"
2,"O aplicativo trava o tempo todo na hora de pagar. Horrível experiência.","2026-01-11"
3,"A entrega atrasou dois dias, mas o suporte foi educado.","2026-01-12"
4,"Não gostei da cor do produto, veio diferente da foto do site.","2026-01-13"
5,"O suporte demorou 3 horas para me responder no chat. Descaso total.","2026-01-14"
6,"Excelente custo beneficio, recomendo a todos.",2026-01-15
7,"A transportadora jogou o pacote pelo portão e amassou a caixa.",2026-01-15
8,"O site é muito lento no celular, quase desisti da compra.",2026-01-16
9,"Gostei, mas o tamanho P parece um G. Ficou enorme.",2026-01-16
10,"O suporte resolveu meu problema com o estorno em 10 minutos. Nota 10!",2026-01-17
11,"Péssimo. O produto veio estragado e a caixa aberta.",2026-01-17
12,"Não recebi o código de rastreio até agora.",2026-01-18
13,"A qualidade do material é superior ao que eu esperava.",2026-01-18
14,"O sistema de buscas do site não funciona, digito o nome e aparece outra coisa.",2026-01-19
15,"Melhor loja que já comprei, entrega super rápida.",2026-01-19
16,"O entregador foi muito educado e prestativo.",2026-01-20
17,"O produto é bom, mas a embalagem de plástico é excessiva. Pouco sustentável.",2026-01-20
18,"Tive dificuldade para cancelar a assinatura, o botão está escondido.",2026-01-21
19,"Preço justo e produto original.",2026-01-21
20,"O rastreio diz que foi entregue, mas eu não recebi nada!",2026-01-22
21,"Interface do app muito intuitiva e bonita.",2026-01-22
22,"O cupom de desconto não funcionou no carrinho.",2026-01-23
23,"A cor é linda, exatamente como no anúncio.",2026-01-23
24,"Demorou muito para processar o pagamento no cartão.",2026-01-24
25,"Simplesmente perfeito, desde a compra até o uso.",2026-01-24
26,"Vem com manual em português? O meu veio em chinês.",2026-01-25
27,"Atendimento humano no chat nota mil!",2026-01-25
28,"A bateria dura muito menos do que o prometido no site.",2026-01-26
29,"Site seguro e confiável, compro sempre.",2026-01-26
30,"O produto faz um barulho estranho quando liga.",2026-01-27
31,"O frete para Rondonópolis está muito caro.",2026-01-27
32,"Quero devolver o produto, como faço?",2026-01-28
33,"A caixa veio com um cheiro forte de mofo.",2026-01-28
34,"Amo essa marca, nunca me decepciona.",2026-01-29
35,"O aplicativo fechou sozinho três vezes seguidas.",2026-01-29
36,"O frete para o interior do MT está demorando o dobro do prazo.",2026-01-30
37,"Chegou antes do esperado, excelente serviço.",2026-01-30
38,"A semente veio com o lacre rompido, estou preocupado com a qualidade.",2026-01-31
39,"O app de rastreio de carga é muito confuso para o motorista.",2026-01-31
40,"Equipamento robusto e de alta qualidade, valeu o investimento.",2026-02-01
41,"Atendimento via WhatsApp foi rápido e eficiente.",2026-02-01
42,"O pneu do trator apresentou desgaste excessivo em menos de um mês.",2026-02-02
43,"Não consigo emitir a nota fiscal pelo site, dá erro 404.",2026-02-02
44,"Melhor preço de insumos que encontrei na região.",2026-02-03
45,"O entregador não encontrou a fazenda mesmo com o GPS enviado.",2026-02-03
46,"Produto veio com a cor errada, pedi azul e veio verde.",2026-02-04
47,"Gostei muito do brinde que enviaram junto com a compra.",2026-02-04
48,"O software de gestão agrícola trava sempre que tento gerar relatórios.",2026-02-05
49,"Peça de reposição original e de fácil instalação.",2026-02-05
50,"O prazo de entrega para Rondonópolis foi cumprido à risca.",2026-02-06
51,"Estou tentando cancelar o pedido há 3 dias sem sucesso.",2026-02-06
52,"Manual de instruções é muito mal traduzido, difícil de entender.",2026-02-07
53,"O sensor de umidade parou de funcionar na primeira chuva.",2026-02-07
54,"Ótima experiência de compra, site intuitivo.",2026-02-08
55,"O óleo lubrificante veio vazando na embalagem.",2026-02-08
56,"Preço do frete abusivo para entregas locais.",2026-02-09
57,"O suporte técnico demonstrou profundo conhecimento do produto.",2026-02-09
58,"A lona de cobertura é muito fina, rasgou no primeiro uso.",2026-02-10
59,"Recomendo a empresa, seriedade e compromisso com o cliente.",2026-02-10
60,"O sistema de login não reconhece minha senha nova.",2026-02-11
61,"Filtro de ar de excelente qualidade, encaixou perfeitamente.",2026-02-11
62,"Fiquei 20 minutos na espera do telefone e ninguém atendeu.",2026-02-12
63,"A entrega foi feita para o vizinho sem minha autorização.",2026-02-12
64,"Produto muito bem embalado, proteção total contra impactos.",2026-02-13
65,"O GPS da colheitadeira está perdendo o sinal constantemente.",2026-02-13
66,"O site não aceita cartão de crédito de algumas bandeiras.",2026-02-14
67,"Parabéns pela agilidade no processo de troca.",2026-02-14
68,"A bota de segurança é desconfortável para longas jornadas.",2026-02-15
69,"Não veio a quantidade de parafusos indicada na caixa.",2026-02-15
70,"O desconto para pagamento no PIX é muito bom.",2026-02-16
71,"O caminhoneiro foi muito grosso no momento da descarga.",2026-02-16
72,"Fiquei impressionado com a durabilidade desta ferramenta.",2026-02-17
73,"O anúncio dizia frete grátis mas fui cobrado no final.",2026-02-17
74,"A peça veio com ferrugem, parece que estava guardada em lugar úmido.",2026-02-18
75,"Interface web muito rápida, carrega tudo instantaneamente.",2026-02-18
76,"Atraso na entrega gerou prejuízo na colheita.",2026-02-19
77,"Suporte de TI resolveu meu problema de acesso remotamente.",2026-02-19
78,"O produto é bom, mas o pós-venda deixa a desejar.",2026-02-20
79,"Compro sempre e nunca tive problemas, empresa de confiança.",2026-02-20
80,"O teclado do computador de bordo é muito pequeno para usar com luvas.",2026-02-21
81,"A cor do trator na foto é muito mais viva que ao vivo.",2026-02-21
82,"Recebi um produto usado no lugar de um novo.",2026-02-22
83,"O atendimento na loja física de Rondonópolis é excelente.",2026-02-22
84,"O link de rastreamento enviado por SMS não abre.",2026-02-23
85,"A qualidade da soja entregue está abaixo do padrão contratado.",2026-02-23
86,"O adubo veio com granulometria irregular, entupiu a plantadeira.",2026-02-24
87,"A equipe de logística de MT é a mais eficiente que já vi.",2026-02-24
88,"O painel solar veio com um risco profundo no vidro.",2026-02-25
89,"Não consigo baixar o relatório de produtividade em PDF.",2026-02-25
90,"O atendimento presencial na filial foi nota 10.",2026-02-26
91,"A mangueira de irrigação ressecou e rachou em uma semana.",2026-02-26
92,"A integração com o sistema do governo para NFe falha muito.",2026-02-27
93,"Preço competitivo e entrega dentro do prazo estipulado.",2026-02-27
94,"O motorista não quis esperar a conferência da carga.",2026-02-28
95,"A qualidade das ferramentas manuais me surpreendeu positivamente.",2026-02-28
96,"O suporte por chat é automatizado demais, não resolve nada.",2026-03-01
97,"O pátio de triagem em Rondonópolis está muito desorganizado.",2026-03-01
98,"Recebi o pedido em duplicidade, como faço para devolver?",2026-03-02
99,"O site é seguro, mas o layout parece dos anos 90.",2026-03-02
100,"Ótimo atendimento pós-venda, me ligaram para saber se deu tudo certo.",2026-03-03
101,"A lona veio com as dimensões menores do que o anunciado.",2026-03-03
102,"O rastreador do caminhão parou de enviar sinal no meio da rota.",2026-03-04
103,"Insumos de primeira linha, minha safra agradece.",2026-03-04
104,"O aplicativo consome muita bateria do celular do motorista.",2026-03-05
105,"Faltou clareza sobre as taxas de juros no financiamento.",2026-03-05
106,"A entrega foi reprogramada três vezes sem aviso prévio.",2026-03-06
107,"O produto é excelente, mas o manual em inglês dificulta.",2026-03-06
108,"O sistema de pontos de fidelidade é muito vantajoso.",2026-03-07
109,"O lacre químico do galão veio violado e vazando.",2026-03-07
110,"Melhor logística de Mato Grosso, parabéns pela agilidade.",2026-03-08
111,"O terminal de autoatendimento da loja está sempre quebrado.",2026-03-08
112,"O produto superou todas as minhas expectativas técnicas.",2026-03-09
113,"A nota fiscal veio com o valor do frete errado.",2026-03-09
114,"O compressor de ar parou de funcionar no segundo dia de uso.",2026-03-10
115,"Site prático, rápido e com ótimas opções de pagamento.",2026-03-10